title,description,thumbnail_url,video_url,category,is_hero
"Qasoskorlar: Intihom","Tanos butun koinotni yo'q qilmoqchi. Qasoskorlar oxirgi marta birlashadi.",https://img.youtube.com/vi/TcMBFSGVi1c/maxresdefault.jpg,https://www.youtube.com/watch?v=TcMBFSGVi1c,Kino,true
"O'rgimchak-odam: Uyga yo'l yo'q","Piter Parker siri fosh bo'lgach boshqa olam qahramonlari bilan to'qnashadi.",https://img.youtube.com/vi/JfVOs4VSpmA/maxresdefault.jpg,https://www.youtube.com/watch?v=JfVOs4VSpmA,Kino,false
"Wednesday","Nevirmor akademiyasida sodir bo'layotgan g'alati qotilliklar haqida detektiv serial.",https://img.youtube.com/vi/Di310WS8zLk/maxresdefault.jpg,https://www.youtube.com/watch?v=Di310WS8zLk,Serial,true
"Moana","Jasur qizaloq o'z xalqini qutqarish uchun okean aro xavfli sayohatga otlanadi.",https://img.youtube.com/vi/LKFuXETZUsI/maxresdefault.jpg,https://www.youtube.com/watch?v=LKFuXETZUsI,Multfilm,false
"Avatar: Suv yo'li","Pandora sayyorasining go'zal tabiati va Jeyk Salli oilasining yangi sarguzashtlari.",https://img.youtube.com/vi/d9MyW72ELq0/maxresdefault.jpg,https://www.youtube.com/watch?v=d9MyW72ELq0,Kino,true
"Squid Game","Qarzga botgan insonlar katta pul mukofoti uchun o'lim o'yinlarida qatnashadi.",https://img.youtube.com/vi/oqxAJKy0ii4/maxresdefault.jpg,https://www.youtube.com/watch?v=oqxAJKy0ii4,Serial,false
"Shrek","Yashil dev va uning sodiq do'sti Eshakning malika Fionani qutqarish sarguzashtlari.",https://img.youtube.com/vi/CwXOrWvQBP8/maxresdefault.jpg,https://www.youtube.com/watch?v=CwXOrWvQBP8,Multfilm,false
"Interstellar","Insoniyatni qutqarish uchun kosmosning eng chuqur qatlamlariga qilingan sayohat.",https://img.youtube.com/vi/zSWdZVtXT7E/maxresdefault.jpg,https://www.youtube.com/watch?v=zSWdZVtXT7E,Kino,false
"Taxtlar o'yini","Yetti qirollik taxti uchun kurashayotgan oilalar va qadimiy muz ajdarlari.",https://img.youtube.com/vi/bjqEWgDVPe0/maxresdefault.jpg,https://www.youtube.com/watch?v=bjqEWgDVPe0,Serial,true
"Muzlik davri","Sids va uning do'stlari muzlik davrida omon qolish uchun harakat qilishadi.",https://img.youtube.com/vi/i4igzW6S0is/maxresdefault.jpg,https://www.youtube.com/watch?v=i4igzW6S0is,Multfilm,false
